"accuracy","oob_accuracy","threat_acc","sec_acc","n_threat","n_sec","in_auc","out_auc","mod","mtry"
0.777777777777778,0.731721911202924,0.90458789768851,0.337006894833871,14,31,0.713810313249969,0.745391705069124,70,3
0.8,0.729176088668497,0.905253441854753,0.32663303453858,14,31,0.725059602753568,0.720046082949309,71,2
0.727272727272727,0.745651063291243,0.920201704887432,0.349958852391465,13,31,0.720810281672351,0.679900744416873,72,2
0.733333333333333,0.734889167225184,0.908532509841896,0.343106540785665,13,32,0.729015567765568,0.632211538461538,73,2
0.755555555555556,0.728270815125476,0.904752433576851,0.325082626134593,14,31,0.705638736263736,0.852534562211982,74,2
0.659090909090909,0.733925977472031,0.905238082795577,0.345617977035574,13,31,0.718683410698497,0.667493796526055,75,2
0.869565217391304,0.714832212563978,0.916196181936699,0.256392511859184,14,32,0.689608516483517,0.919642857142857,76,2
0.666666666666667,0.749476543967083,0.920318016237023,0.359166409321459,14,31,0.732804802955665,0.648617511520737,77,2
0.711111111111111,0.721629308892921,0.885001953937937,0.348527814809411,14,31,0.728803405646078,0.653225806451613,78,3
0.733333333333333,0.734197760392406,0.92377532298375,0.300979440774942,14,31,0.717924876847291,0.771889400921659,79,2
0.711111111111111,0.738691479521948,0.919612505183254,0.325760960292208,14,31,0.717754712959454,0.68778801843318,80,2
0.822222222222222,0.722302357708303,0.907926772033835,0.298435944041563,14,31,0.702887260010105,0.800691244239631,81,2
0.772727272727273,0.716611746375394,0.900804558041552,0.29940117305697,13,31,0.715375299987369,0.719602977667494,82,2
0.644444444444444,0.73241362754393,0.883327217647858,0.387773307714628,14,31,0.728629334028041,0.672811059907834,83,37
0.711111111111111,0.739267685685242,0.895648673046681,0.381683155290169,14,31,0.72880857648099,0.611751152073733,84,3
0.8,0.734986171306258,0.922251701147388,0.30710750004357,14,31,0.697875615763547,0.859447004608295,85,2
0.733333333333333,0.724515815622837,0.89122037816207,0.343344649397713,14,31,0.713290664077302,0.774193548387097,86,2
0.8,0.727870794471622,0.928286029615848,0.269760110873312,14,31,0.698747986926866,0.872119815668203,87,2
0.652173913043478,0.733850653596246,0.873404821860639,0.416495917973364,14,32,0.745645604395604,0.521205357142857,88,59
0.795454545454545,0.718924617681892,0.885144936352043,0.342370798858103,13,31,0.714906175003158,0.761786600496278,89,3
0.711111111111111,0.732544467945109,0.911417399050687,0.328579757313569,13,32,0.728865613553114,0.478365384615385,90,2
0.739130434782609,0.735030610837044,0.912702145199175,0.330534059786378,14,32,0.715354853479854,0.704241071428572,91,2
0.704545454545455,0.736796881816184,0.919689928276968,0.322358980364682,13,31,0.732393780788178,0.679900744416873,92,2
0.659090909090909,0.743907016205379,0.901426149796806,0.38688629804085,13,31,0.740128836680561,0.58560794044665,93,3
0.8,0.729077939133312,0.91851338067201,0.296490610246573,14,31,0.698585362195276,0.829493087557604,94,2
0.695652173913043,0.737112767457688,0.907814827037981,0.348425851463821,14,32,0.719505494505495,0.714285714285714,95,2
0.777777777777778,0.73046456792655,0.909866675640678,0.32075109402434,14,31,0.724327357269168,0.658986175115208,96,2
0.795454545454545,0.719969238749508,0.924790167842003,0.25598989408991,13,31,0.712797737463685,0.771712158808933,97,2
0.777777777777778,0.727003442313945,0.908912690972421,0.311592872475403,14,31,0.706973166919288,0.802995391705069,98,2
0.644444444444444,0.70875573468029,0.860318524249253,0.362431064990658,14,31,0.717713504168246,0.67741935483871,99,24
0.688888888888889,0.728489859227371,0.92599682686993,0.277374486729131,14,31,0.7100523793735,0.785714285714286,100,2
