"genus","species","kingdomKey","X2001_2019_change_index_mu","X2001_Land_Cover_mu","X2004_Land_Cover_mu","X2006_Land_Cover_mu","X2008_Land_Cover_mu","X2011_Land_Cover_mu","X2013_Land_Cover_mu","X2016_Land_Cover_mu","X2019_Land_Cover_mu","slope_mu","roundedSRank_mu","roundedNRank_mu","roundedGRank_mu","UID_mu","lat_mu","lon_mu","maxlat_mu","minlat_mu","maxlon_mu","minlon_mu","simple_status_mu","X2001_2019_change_index_sig","X2001_Land_Cover_sig","X2004_Land_Cover_sig","X2006_Land_Cover_sig","X2008_Land_Cover_sig","X2011_Land_Cover_sig","X2013_Land_Cover_sig","X2016_Land_Cover_sig","X2019_Land_Cover_sig","slope_sig","roundedSRank_sig","roundedNRank_sig","roundedGRank_sig","UID_sig","lat_sig","lon_sig","maxlat_sig","minlat_sig","maxlon_sig","minlon_sig","simple_status_sig","Random_Pred"
"Battus","philenor",1,"1","21","21","21","21","21","21","21","21",6.64897139215395e+31,"S4","N5","G5","73239",1586483.32500148,1956358.25262143,1766374.69060021,1405375.75034434,2008502.32203841,1842040.36183867,"secure",7,15,15,15,14,14,15,14,14,8.48883840905816e+32,1,1,1,163,78647.8712204681,32626.9371100835,0,0,0,0,1,0.201910061761737
"Bidens","discoidea",6,"1","90","90","90","90","90","90","90","90",0.224760920299947,"S4","N5","G5","68049",1685544.12688161,1960223.04175147,1717676.12482952,1637482.1043918,2003407.50279506,1891976.8858866,"secure",2,4,4,4,4,4,4,4,4,0.256665492066353,1,1,1,6,39006.6270061089,38350.0329620123,0,0,0,0,1,0.400790735613555
"Boloria","bellona",1,"1","21","21","21","21","21","21","21","21",2.00440545198841,"S4","N5","G5","73461",1549823.27192589,1982582.81997717,1715408.73680126,1399980.98238325,2036710.80176848,1863666.43602834,"secure",5,12,12,13,13,13,12,13,13,1.71116865157807,1,1,1,151,87076.9921445265,23764.2456631123,0,0,0,0,1,0.359303868375719
"Boloria","selene",1,"1","22","22","22","90","81","81","22","81",1.58789437027361,"S3","N5","G5","73025",1428009.13163629,1969402.90415173,1441947.11127539,1406491.7794623,1984655.98716711,1920410.84580457,"threatened",2,7,8,8,8,8,8,8,8,0.92195138607736,1,1,1,11,14110.7571506673,19794.7644111766,0,0,0,0,1,0.466502687428147
"Bouteloua","curtipendula",6,"11","52","52","52","41","82","82","82","41",0.14099321511308,"S2","N5","G5","67164",1589214.26279185,1944859.56524862,1731775.16208341,1446653.36350029,1959835.47059699,1929883.65990024,"threatened",2,2,2,2,2,2,2,2,2,0.0764855431288476,1,1,1,2,201611.55724223,21179.1284524891,0,0,0,0,1,0.118535001762211
"Brasenia","schreberi",6,"1","90","90","90","90","90","90","90","90",0.924000952613635,"S4","N5","G5","65415",1634534.52844253,1946428.16627045,1776731.38687275,1403633.61352852,2006622.17881397,1865123.09575272,"secure",4,11,11,11,11,11,11,11,11,1.09251010479233,1,1,1,72,50029.0883150405,30092.8608972079,0,0,0,0,1,0.387257792754099
"Bromus","latiglumis",6,"1","11","11","21","21","11","21","21","21",1.45536014988829,"S1","N5","G5","67364",1649493.6761329,2001591.85378176,1671247.99759137,1627739.35467444,2028349.52505921,1974834.18250432,"threatened",2,2,2,2,2,2,2,2,2,0.43382219640852,1,1,1,2,30765.2564467862,37841.061618085,0,0,0,0,1,0.233288960065693
"Bromus","nottowayanus",6,"1","41","41","41","41","41","41","41","41",2.03171022794459,"S3","N4","G4","66390",1495445.32991216,1973051.56287555,1656022.91958058,1425029.60683628,1994253.54717939,1904771.62303323,"threatened",1,2,2,2,2,2,2,2,2,0.793614124065909,1,1,1,10,80656.6192951196,24713.4623890328,0,0,0,0,1,0.422747013857588
"Calamagrostis","canadensis",6,"1","90","90","90","21","21","90","90","21",0.448553523156648,"S4","N5","G5","68040",1575227.4034863,1928866.80137667,1734994.98306863,1415459.82390397,1960939.91854517,1896793.68420817,"secure",1,2,2,2,2,2,2,2,2,0.508674101010102,1,1,1,2,225945.477872856,45358.2372872788,0,0,0,0,1,0.874364297837019
"Calephelis","borealis",1,"1","41","41","41","41","41","41","41","41",3.009427975875,"S2","N3","G3","80436",1498275.57484232,1986985.90418889,1648405.55605722,1470761.12481938,1995366.17333592,1946178.09545003,"threatened",1,5,5,5,5,5,5,5,5,1.97219623508017,1,1,1,39,36266.4112889965,8814.47885476463,0,0,0,0,1,0.882756885141134
