"accuracy","oob_accuracy","threat_acc","sec_acc","n_threat","n_sec","in_auc","out_auc","mod","mtry"
0.818181818181818,0.808194804979952,0.63786531986532,0.872181651770751,8,3,0.896785714285714,0.958333333333333,60,70
0.818181818181818,0.781531680172973,0.514929807599808,0.881377076457702,8,3,0.882767857142857,0.916666666666667,61,3
0.909090909090909,0.813815363908533,0.607686947068526,0.890894980250631,8,3,0.878571428571428,0.916666666666667,62,6
0.909090909090909,0.810986830637086,0.573766075944566,0.899861547052674,8,3,0.882648809523809,1,63,97
1,0.781466279688162,0.495986176552492,0.88846192462882,8,3,0.870416666666666,1,64,2
0.636363636363636,0.865851095630503,0.725215982905983,0.918613931743451,8,3,0.925148809523809,0.5625,65,58
0.818181818181818,0.796621218708886,0.561207730594687,0.884926503940984,8,3,0.877380952380952,0.958333333333333,66,4
0.818181818181818,0.80977374572386,0.600686591692908,0.888228164630657,8,3,0.885803571428571,0.916666666666667,67,25
0.727272727272727,0.813685619318118,0.575340471380471,0.90325928963634,8,3,0.887708333333333,0.791666666666667,68,8
0.909090909090909,0.822116734689281,0.655792898550725,0.884540280754168,8,3,0.898214285714285,0.958333333333333,69,146
0.727272727272727,0.835558721555847,0.633746743626744,0.911364182054431,8,3,0.887946428571428,0.791666666666667,70,54
0.727272727272727,0.863283941112652,0.733703451009538,0.911881584074762,8,3,0.925119047619047,0.833333333333333,71,137
0.909090909090909,0.794537723730538,0.549085905205905,0.886629852486539,8,3,0.886220238095238,0.958333333333333,72,3
0.818181818181818,0.795585613690977,0.560954356384356,0.883661623783908,8,3,0.882172619047618,0.958333333333333,73,42
0.818181818181818,0.792251512028469,0.52193251514144,0.893612145167166,8,3,0.887053571428571,0.958333333333333,74,2
0.909090909090909,0.77624491178939,0.479346625041625,0.887315007207424,8,3,0.869315476190476,1,75,2
0.818181818181818,0.813318460740921,0.600403612490569,0.893106012658358,8,3,0.883273809523809,0.958333333333333,76,14
0.818181818181818,0.804127060404088,0.556581055922635,0.896916709967657,8,3,0.899732142857143,0.791666666666667,77,4
0.727272727272727,0.796949903552853,0.639787121565611,0.855810540212805,8,3,0.901815476190476,0.791666666666667,78,143
0.727272727272727,0.811433861680957,0.650659247757074,0.871744069419374,8,3,0.90407738095238,1,79,142
0.727272727272727,0.825842792490891,0.63192811523988,0.898586610108639,8,3,0.897053571428571,0.75,80,106
0.909090909090909,0.781729865727376,0.516172224263998,0.881307293851386,8,3,0.873273809523809,1,81,4
0.909090909090909,0.836645878738325,0.631793903021294,0.913423234895882,8,3,0.876666666666666,1,82,127
0.727272727272727,0.847134140318692,0.701916363636364,0.901603836120307,8,3,0.899375,0.75,83,123
0.727272727272727,0.839908305681487,0.644088909238909,0.913387284693826,8,3,0.892946428571428,0.75,84,7
0.727272727272727,0.813485105165283,0.633271791035475,0.881174628764543,8,3,0.902127976190476,0.8125,85,98
0.727272727272727,0.831506963524794,0.644261315496098,0.901720034701695,8,3,0.894151785714286,0.916666666666667,86,36
0.818181818181818,0.80176112913045,0.604487606837607,0.875840749797577,8,3,0.88547619047619,0.958333333333333,87,147
0.818181818181818,0.811769198585342,0.592032748460217,0.894116832555841,8,3,0.872589285714285,0.875,88,3
