Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Andrenidae	Andreninae		Andrena	Iomelissa	 violae	Andrena violae	Andrena (Iomelissa) violae	"Robertson, 1891"	CT-DE-MA-MD-NH-NJ-NY-PA-VA-WV	Common-Uncommon	Spring	Viola L.	oligo
Andrenidae	Andreninae		Andrena	Parandrena	 wellesleyana	Andrena wellesleyana	Andrena (Parandrena) wellesleyana	"Robertson, 1897"	CT-MA-RI	Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Micrandrena	 ziziae	Andrena ziziae	Andrena (Micrandrena) ziziae	"Robertson, 1891"	CT-MA-MD-NH-NJ-NY-PA-VA-VT-WV	Common-Uncommon	Spring	Zizia W.D.J. Koch	oligo
Andrenidae	Andreninae		Andrena	Derandrena	 ziziaeformis	Andrena ziziaeformis	Andrena (Derandrena) ziziaeformis	"Cockerell, 1908"	CT-DE-MD-NJ-NY-PA-VA-WV	Uncommon-Rare	Spring	"Potentilla L., Waldsteinia Willd."	poly
Andrenidae	Andreninae		Calliopsis	Verbenapis	 nebraskensis**	Calliopsis nebraskensis**	Calliopsis (Verbenapis) nebraskensis**	"Crawford, 1902"	CT-NJ	Rare	Summer	Verbena L.	oligo
Andrenidae	Andreninae		Panurginus		atramontensis	Panurginusatramontensis	Panurginus atramontensis	"Crawford, 1926"	MD-NJ-VA	Rare	Spring	Vaccinium (Polycodium) L.	oligo
Andrenidae	Andreninae		Panurginus		potentillae	Panurginuspotentillae	Panurginus potentillae	"(Crawford, 1916)"	CT-MA-MD-NJ-NY-VA	Uncommon-Rare	Spring	Potentilla L.	oligo
Andrenidae	Andreninae		Perdita	Cockerellia	 bequaerti	Perdita bequaerti	Perdita (Cockerellia) bequaerti	"Viereck, 1917"	MD-NJ-NY	Rare	Summer	Asteraceae e.g. Helianthus L.	poly
Andrenidae	Andreninae		Perdita	Hexaperdita	 bishoppi	Perdita bishoppi	Perdita (Hexaperdita) bishoppi	"Cockerell, 1906"	DE-MD-NJ	Rare	Fall	"Chrysopsis (Nutt.) Elliot, Heterotheca Cass., Pityopsis Nutt."	poly
Andrenidae	Andreninae		Perdita	Hexaperdita	 boltoniae	Perdita boltoniae	Perdita (Hexaperdita) boltoniae	"(Robertson, 1902)"	DE-MD-NJ-NY-VA	Rare	Fall	"Chrysopsis (Nutt.) Elliot, Heterotheca Cass., Pityopsis Nutt."	poly
Andrenidae	Andreninae		Perdita	Perdita	 consobrina	Perdita consobrina	Perdita (Perdita) consobrina	"Timberlake, 1928"	VA	Rare	Fall	"Asteraceae, e.g. Astereae"	poly
Andrenidae	Andreninae		Perdita	Perdita	 gerardiae	Perdita gerardiae	Perdita (Perdita) gerardiae	"Crawford, 1932"	MD-NJ	Rare	Fall	Agalinis Raf.	oligo
Andrenidae	Andreninae		Perdita	Perdita	 gerhardi	Perdita gerhardi	Perdita (Perdita) gerhardi	"Viereck, 1904"	MD-NJ-VA-WV	Rare	Summer	Monarda L.	oligo
