internalTaxonId,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,taxonomicNotes
19199033,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,holmboei,,,,"(Mavromoustakis, 1948)",
19198805,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,lepeletieri,,,,"(Pérez, 1879)",
19199277,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,ochraceicornis,,,,"(Ferton, 1902)",
19198429,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,parnesica,,,,"(Mavromoustakis, 1958)",
19198960,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,ravouxi,,,,"(Pérez, 1902)",
19199701,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,tenuispina,,,,"(Alfken, 1937)","<em>Osmia tenuispina</em> in Stanek (1964) and <em>Hoplitis tenuispina</em> in Tkalcu (1977c, 2000a)&#160;are misidentifications of&#160;<em>Hoplitis mazzuccoi </em>(Gusenleitner and Schwarz&#160;2002), see Schwarz <em>et al.</em> (2005)."
19199662,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,tkalcuella,,,,"Le Goff, 2003",
19198894,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,villosa,,,,"(Schenck, 1853)",
19199040,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Hoplitis,zandeni,,,,"(Teunissen & van Achterberg, 1992)",
19198422,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,alticola,,,,"Benoist, 1929",
19199889,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,ariadne,,,,"Peters, 1978",
19199601,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,balearica,,,,"Schmiedeknecht, 1885",
19199057,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,dusmeti,,,,"van der Zanden, 1998",
19199542,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,iberica,,,,"van der Zanden, 1987",
19198819,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,larochei,,,,"Tkalců, 1993",
19198968,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,madeirensis,,,,"van der Zanden, 1991",
19199847,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,mirhiji,,,,"Mavromoustakis, 1957",
19199916,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,moreensis,,,,"van der Zanden, 1984",
19198810,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,palmae,,,,"Tkalců, 2001",
