species.i.	n.gps	CHELSA_bio10_1	CHELSA_bio10_2	CHELSA_bio10_3	CHELSA_bio10_4	CHELSA_bio10_5	CHELSA_bio10_6	CHELSA_bio10_7	CHELSA_bio10_8	CHELSA_bio10_9	CHELSA_bio10_10	CHELSA_bio10_11	CHELSA_bio10_12	CHELSA_bio10_13	CHELSA_bio10_14	CHELSA_bio10_15	CHELSA_bio10_16	CHELSA_bio10_17	CHELSA_bio10_18	CHELSA_bio10_19	CHELSA_bio10_1SD	CHELSA_bio10_2SD	CHELSA_bio10_3SD	CHELSA_bio10_4SD	CHELSA_bio10_5SD	CHELSA_bio10_6SD	CHELSA_bio10_7SD	CHELSA_bio10_8SD	CHELSA_bio10_9SD	CHELSA_bio10_10SD	CHELSA_bio10_11SD	CHELSA_bio10_12SD	CHELSA_bio10_13SD	CHELSA_bio10_14SD	CHELSA_bio10_15SD	CHELSA_bio10_16SD	CHELSA_bio10_17SD	CHELSA_bio10_18SD	CHELSA_bio10_19SD	area	max_lat	min_lat	abs_max_lat	abs_min_lat	length_lat	median_lon	median_lat
Lasioglossum perplexa	1	143	81	255	8176	303	-13	316	253	34	253	33	1081	114	80	12	333	243	333	244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.4459	38.4459	38.4459	38.4459	0	-76.4584	38.4459
lasioglossum pilosum	3	140	78	245.333333333333	8302.66666666667	301.333333333333	-16	317.333333333333	252	28.3333333333333	252	28.3333333333333	1042	111.333333333333	71.6666666666667	12.6666666666667	322	222.666666666667	322	227.333333333333	0	5.19615242270663	10.9696551146029	70.4367328411343	4.04145188432738	3.46410161513775	7.50555349946513	0	1.15470053837925	0	1.15470053837925	32.9089653438087	4.61880215351701	4.04145188432738	1.15470053837925	10.3923048454133	14.4337567297406	10.3923048454133	6.35085296108588	0	38.9196	38.858	38.9196	38.858	0.0616000000000057	-75.8273	38.9196
Lasioglossum pilosum	8283	139.170202146244	81.6175442974794	252.609308709758	8359.57898677315	303.449713002246	-19.1991514849014	322.376715747442	250.43948090841	29.4492138757175	251.570501622161	26.6091839281258	1085.53231844273	113.921262790117	74.5502869977539	12.578986773147	332.84576990267	229.777389568256	332.346019465935	240.741951584727	3.70171765865878	5.0252174919458	10.6530418816231	116.893743196435	5.05135531149359	5.7039372424804	8.1745717628886	9.07661242308069	17.5327147104382	3.41438340701546	4.57874737244514	54.7738656168617	5.91642062812179	5.47910766308844	1.3361461674835	16.7485323917316	16.7131668665854	18.799338722571	16.0077525360407	4.236393342345	39.719	38.1141	39.719	38.1141	1.6049	-76.4629	38.8702
Lasioglossum platyparium	208	136.840579710145	83.0579710144928	254.763285024155	8404.93236714976	302.782608695652	-22.7246376811594	325.256038647343	246.985507246377	31.9371980676328	249.400966183575	23.6763285024155	1080.28985507246	111.019323671498	73.2270531400966	12.8454106280193	326.685990338164	225.975845410628	325.874396135266	236.584541062802	4.66225242994813	4.02739668006186	8.11967554178144	141.435755993651	4.53637798254362	6.80423352931731	7.75580895722834	11.3733969363827	28.4186954373963	3.78789577493409	6.07849703960563	103.846615061289	10.7522683778129	9.28887227116284	1.59953442876937	31.0171100113505	27.2326259948968	32.0017243391238	21.9733146333837	2.71937811499999	39.7055	38.1554	39.7055	38.1554	1.5501	-76.76005	38.9946
Lasioglossum pruinosum	31	143.774193548387	79.2258064516129	252.354838709677	8104.67741935484	302.129032258065	-10.5161290322581	312.387096774194	252.903225806452	111.322580645161	252.903225806452	35.5161290322581	1070.67741935484	113.870967741935	77.5483870967742	12.1290322580645	330.709677419355	237.870967741935	330.709677419355	247.096774193548	1.08657496809485	0.956022224963235	1.37957450195762	62.2786143587959	0.562253530231749	2.37866864361748	2.84812709635459	0.39621868622243	22.0142182793669	0.39621868622243	2.20410174813438	9.81626913776035	1.25809208682224	1.68994496315549	0.427546136603678	4.48102330862864	4.75213590913862	4.48102330862864	3.93577471162224	0.057819974999997	39.0258	38.2715	39.0258	38.2715	0.754299999999994	-76.4208	38.2953
Lasioglossum quebecense	730	134.561643835616	83.972602739726	256.619178082192	8447.33561643836	301.749315068493	-25.7287671232877	327.61095890411	244.575342465753	21.2	247.656164383562	20.7849315068493	1040.18493150685	105.343835616438	69.0931506849315	12.4383561643836	309.397260273973	213.867123287671	308.797260273973	227.453424657534	6.8322769460872	0.845752767185754	2.36867170235517	73.219859588071	7.41232472502827	6.62458900973403	2.40299091433689	16.8834606353035	6.76357548643973	7.13774884111889	6.67440232745771	75.222122237169	8.55729477754744	5.41015477561002	1.01411575503258	23.6029337915285	15.8006316381057	23.4562896330132	15.6277388903045	2.54597769000001	39.7055	38.4079	39.7055	38.4079	1.2976	-76.81955	39.0542
Lasioglossum reticulatum	1	141	85	263	8290	306	-18	324	251	30	251	29	1126	113	79	11	338	243	338	260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.5588	38.5588	38.5588	38.5588	0	-77.0559	38.5588
Lasioglossum rufitarse	6	93	81	260	7977.66666666667	249.333333333333	-63.6666666666667	313	198	99.6666666666667	199.333333333333	-15.6666666666667	1133.33333333333	116.333333333333	77.6666666666667	13.6666666666667	338	235.666666666667	324.333333333333	266	0	0	0	7.22956891292051	0.516397779494322	0.516397779494322	0	0	26.8526845337048	0.516397779494322	0.516397779494322	67.6481091137562	7.22956891292051	5.16397779494322	0.516397779494322	20.1395134002786	14.459137825841	19.6231156207842	17.0411267233126	0	39.3642	39.3097	39.3642	39.3097	0.0544999999999973	-79.4577	39.3097
Lasioglossum simplex	17	141.4	81.4666666666667	254.533333333333	8264.2	304	-15.8	319.266666666667	252.466666666667	57.4666666666667	252.466666666667	30.3333333333333	1096.53333333333	114.066666666667	77.8666666666667	11.5333333333333	334.133333333333	239.933333333333	334.133333333333	252.066666666667	4.03201473920208	2.06559111797729	2.97289341182883	143.065519455747	2.69920623252731	6.30419361559091	6.00555298591784	2.87518115371304	43.8159570845839	2.87518115371304	6.20675515255834	53.6614608536926	4.63629572991608	4.51769009666708	0.833809387832792	13.1032529585305	13.3922507799242	13.1032529585305	12.975067666582	0.63127624	39.7057	38.2953	39.7057	38.2953	1.4104	-76.3891	38.7566
Lasioglossum sopinci	19	138.888888888889	80.5	250.055555555556	8354.83333333333	302.444444444444	-18.7222222222222	321.111111111111	251.277777777778	26.5	251.277777777778	26.4444444444444	1069	113.333333333333	72.5	12.8333333333333	329.111111111111	224.111111111111	329.111111111111	234.111111111111	1.60473156593021	4.51468193134095	9.08439011661486	80.7940373455135	2.95500019353482	4.19811660230346	6.70284302182017	1.12749360533236	2.7493314695416	1.12749360533236	2.7912093567489	23.3792265760465	2	1.82305496674256	0.785905247993376	5.20055301232349	6.79003498985084	5.20055301232349	5.10926366156599	0.288114075680002	39.08258	38.484	39.08258	38.484	0.598579999999998	-76.6725	38.9191
